asof,symbol,side,qty,limit_price,reason,score,rank,z,pnl,retry
2026-06-30,PANW,buy,26,349.62,"OPEN — ramp-up buy: score-gate (score > 0.90, 8.5% each)",0.9404,,,,False
2026-06-30,RBLX,buy,160,58.08,"OPEN — ramp-up buy: score-gate (score > 0.90, 8.5% each)",0.9434,,,,False
