factor,ic_train_5,ic_test_5,ic_test_t_5,ls_train_5,ls_test_5,ic_train_10,ic_test_10,ic_test_t_10,ls_train_10,ls_test_10,ic_train_20,ic_test_20,ic_test_t_20,ls_train_20,ls_test_20,ic_train_60,ic_test_60,ic_test_t_60,ls_train_60,ls_test_60
reversal_21,0.022338177695320555,0.0036997276916631715,0.2701798704422317,-0.00017401597339617586,-0.0031823982049518323,0.027435064935064934,0.013410215039542941,0.9902022845490521,0.0001876270044759946,-0.004990075454545081,0.04340084518655948,0.024124524124524125,1.730302943110232,0.014984647688677872,-0.007495942856121445,0.03088023088023088,-0.017757752451630002,-1.2930708445400256,0.019437337859389062,-0.01161513466920698
vol_adj_mom_63,-0.025633889919604205,0.01682027649769586,1.3211897367174794,-0.0035382274304517182,0.0019702484191622812,-0.02639146567717996,0.021043722062051996,1.6689446031073527,-0.008662409498989797,0.004206783118468086,-0.029529993815708096,0.023670923670923664,1.8096607398688054,-0.017507575292345083,0.012447058097179123,-0.04061018346732632,0.06574491268368819,5.320643121885975,-0.009990870682115049,0.037162856607543614
mom_63,-0.01888528138528138,0.011544302471721822,0.8641818653651676,-0.000884528048334107,0.0024097750348702385,-0.015017522160379305,0.012439495331552359,0.9489439136795691,-0.0009622995914451378,0.005226181226600691,-0.031153370439084723,0.007376407376407371,0.5156187267427601,-0.008175132950583232,0.010127771311313975,-0.034222325293753866,0.030300085402126226,2.2294519184544264,-0.008594527097580346,0.021104970253721766
vol_trend,0.004426922284065141,-0.0209572685379137,-1.974592198793881,0.0019325438011622838,-0.0018033800119654753,-0.0027829313543599283,0.000928399502737589,0.09003733091816896,0.0077166771391638704,-0.00011643572103720662,0.004973201401772832,0.005764505764505764,0.47639238252323735,0.010256838025667136,-0.001387081703763245,-0.010572562358276642,0.02147127249168065,1.9881058636816498,-0.004326342315811361,0.010071442010550885
reversal_5,0.0028009688723974434,0.02153330540427315,1.7536919795835928,-0.001901654438370243,0.0022640635976345653,0.005248917748917747,0.020908826407808077,1.7406010400899048,-0.004095334061705907,0.0026154294261229974,0.009554730983302409,0.0036909036909036916,0.30344980337071803,-0.003925361463038031,-0.004794946967036217,0.014837146980004124,-0.027608445975792918,-2.139416499043115,0.008344112222075376,-0.012974066856138682
accel_21_63,0.009088332302618017,-0.008150921658986177,-0.629156974570213,0.002400602221898313,-0.0012339897184495037,0.00486239950525665,-0.005493691644404478,-0.4259241688776854,0.0049635768564571464,-0.0010750216466118801,0.013224077509791798,-0.004733104733104733,-0.3470323463885711,0.008565434536781779,-0.004840253049552143,0.01849876314162029,-0.03426097711811998,-2.571364726329106,0.0008533604850509136,-0.0388335486893367
mom_252,-0.0006055452484023931,-0.010737850858818603,-0.7781848946440324,-0.003502092654241058,-0.0022034740118976074,-0.010652442795299937,-0.003885523844790657,-0.28778738609795307,-0.00773622452758525,-0.003931910488666513,-0.03325602968460112,-0.015940815940815943,-1.109557984657863,-0.02228576913375797,-0.005096479422490537,-0.09583848690991548,-0.03011750154607298,-2.2379823144945448,-0.06131423636510076,-0.031235766199556786
mom_252_21,0.002496907854050709,-0.006873167155425218,-0.5111300995412504,-0.004012730649776432,-0.0009121989040802751,-0.005967841682127394,-0.003147565265691545,-0.23084805780765033,-0.005529996789121114,-0.0030700617693404783,-0.025219027004741285,-0.016999216999216995,-1.1997312223659484,-0.014893872663164848,-0.004992764066413073,-0.09543393114821687,-0.02492858615307595,-1.782171394746974,-0.06158429731707918,-0.029871553194362962
mom_21,-0.022338177695320555,-0.0036997276916631715,-0.2701798704422317,-0.00016003449473253376,0.0017196787664274507,-0.027435064935064934,-0.013410215039542941,-0.9902022845490521,-0.002211461340941865,0.002061658795903871,-0.04340084518655948,-0.024124524124524125,-1.730302943110232,-0.018569833937849285,0.00525184194470959,-0.03088023088023088,0.017757752451630002,1.2930708445400256,-0.032279823813977405,0.00597976676370122
high_52w_prox,-0.035936242843360736,-0.010751861290364626,-0.7416189244950366,-0.007712819168151307,-0.0029096157851643983,-0.05405868403765555,-0.01409882258559529,-0.9462577555872304,-0.018088268311347813,-0.004748094328343884,-0.08199135699103925,-0.030923542424732203,-2.044647792677862,-0.03901687896371656,-0.008548850465799942,-0.11267210365166304,-0.05301537945057901,-3.684572615630488,-0.08126584556284036,-0.02125270016879583
dist_50ma,-0.0323051948051948,-0.023570381231671555,-1.688515080288315,-0.0027266549460398365,-0.000753582748065352,-0.029401154401154397,-0.026233237231200565,-1.8936627355159017,-0.004415536773961712,-0.00038398257534311505,-0.039847454133168425,-0.037000837000837006,-2.5505881465199423,-0.01864680231840932,0.002583114849159792,-0.03273809523809524,0.02254027151986335,1.6653462667116068,-0.02752031297646553,0.010519240599129221
dist_200ma,-0.0016594516594516568,-0.02039170506912442,-1.3927229383584707,-0.0011345472710540744,-0.0020032680246017103,0.0005900845186559467,-0.020498849419419683,-1.386708201202893,-0.0015269418168204528,-0.0016540091313280707,-0.015940012368583795,-0.03861543861543862,-2.5299075889756573,-0.006985290571176049,0.004464483350857808,-0.04696454339311482,-0.03034425891568749,-2.2068625952510383,-0.025183600321451134,-0.010697982727320515
low_vol,-0.021194083694083696,-0.019624528697109348,-1.2233727238404049,-0.009248757483779487,-0.009149818391113592,-0.04124665017522161,-0.03944507630862009,-2.5721519116985885,-0.01829543746118026,-0.0200884681031522,-0.061172954030096885,-0.045249345249345256,-3.3048871505635575,-0.03773049102787772,-0.03653310518654213,-0.09228251906823336,-0.09872191300762728,-6.501485373978442,-0.08476604772574468,-0.11054435277687781
mom_126,0.023657493300350444,-0.01955906996229577,-1.3658963520281813,0.0005354990029002593,-0.0001655900907969152,0.02145691609977324,-0.02657444388605285,-1.8248370957507476,0.0015674249522598215,-0.001738724249824536,-0.0011363636363636337,-0.051599751599751595,-3.40675086579874,-0.002875753995180413,-0.003505732334726335,-0.050422593279736146,-0.016874282180404626,-1.306771844586855,-0.04235855941321579,0.008874658537973529
