date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2014-01-03,BUY,PLUG,3648,2.6126,9530.76,momentum_score=1.0,,0.0,,,
2014-01-03,BUY,AMD,2151,4.004,8612.6,momentum_score=0.896,,0.0,,,
2014-01-06,BUY,PANW,887,9.6496,8559.2,momentum_score=0.92,,0.0,,,
2014-01-06,BUY,FTNT,2205,3.8518,8493.22,momentum_score=0.845,,0.0,,,
2014-01-07,BUY,BAC,660,12.8713,8495.06,momentum_score=0.894,,0.0,,,
2014-01-07,BUY,MRVL,661,13.0154,8603.18,momentum_score=0.864,,0.0,,,
2014-01-08,BUY,WDAY,101,89.089,8997.99,momentum_score=0.901,,0.0,,,
2014-01-08,BUY,NOW,775,11.5896,8981.94,momentum_score=0.86,,0.0,,,
2014-01-09,BUY,ON,1076,8.4885,9133.63,momentum_score=0.887,,0.0,,,
2014-01-09,BUY,AXON,512,17.8078,9117.59,momentum_score=0.884,,0.0,,,
2014-01-10,BUY,META,155,57.4931,8911.43,momentum_score=0.85,,0.0,,,
2014-01-23,SELL,AMD,2151,3.6164,7778.88,rotation_funded,-833.73,14.3,4.004,4.47,3.62
2014-01-27,BUY,SMCI,4061,2.1522,8740.08,momentum_score=0.933,,0.0,,,
2014-02-10,SELL,MRVL,661,13.1308,8679.46,rotation_funded,76.28,24.3,13.0154,13.9842,12.7636
2014-03-19,SELL,SMCI,4061,1.8162,7375.59,stop_loss,-1364.5,36.4,2.1522,2.245,1.818
2014-04-10,SELL,WDAY,101,75.5444,7629.98,stop_loss,-1368.0,65.7,89.089,115.47,75.62
2014-04-25,SELL,NOW,775,9.4366,7313.37,stop_loss,-1668.58,76.4,11.5896,14.162,9.446
2014-05-02,SELL,AXON,512,14.1159,7227.34,stop_loss,-1890.25,80.7,17.8078,20.5,14.13
2014-05-05,BUY,CDNS,420,15.5956,6550.15,momentum_score=0.799,,0.0,,,
2014-05-05,BUY,AAPL,354,18.7358,6632.47,momentum_score=0.794,,0.0,,,
2014-05-09,SELL,PLUG,3648,3.7163,13557.06,max_holding_period,4026.3,90.0,2.6126,10.31,2.61
2014-05-12,BUY,AVGO,1257,5.1572,6482.6,momentum_score=0.843,,0.0,,,
2014-05-12,BUY,MU,241,26.857,6472.54,momentum_score=0.822,,0.0,,,
2014-05-12,SELL,PANW,887,10.3596,9188.97,max_holding_period,629.77,90.0,9.6496,13.3033,9.6183
2014-05-12,SELL,FTNT,2205,4.1938,9247.33,max_holding_period,754.11,90.0,3.8518,4.772,3.848
2014-05-13,BUY,NXPI,116,53.7252,6232.12,momentum_score=0.896,,0.0,,,
2014-05-13,BUY,TSM,431,15.006,6467.59,momentum_score=0.803,,0.0,,,
2014-05-13,SELL,BAC,660,11.7082,7727.41,max_holding_period,-767.65,90.0,12.8713,13.9734,11.4859
2014-05-14,BUY,BA,56,115.0601,6443.37,momentum_score=0.822,,0.0,,,
2014-05-14,BUY,MSFT,191,33.7578,6447.74,momentum_score=0.807,,0.0,,,
2014-05-15,SELL,ON,1076,8.4216,9061.64,max_holding_period,-71.98,90.0,8.4885,10.0,8.07
2014-05-16,BUY,CSCO,383,16.943,6489.17,momentum_score=0.924,,0.0,,,
2014-05-16,BUY,ORCL,183,34.9539,6396.56,momentum_score=0.877,,0.0,,,
2014-05-16,SELL,META,155,57.4574,8905.9,max_holding_period,-5.53,90.0,57.4931,71.403,53.064
2014-05-19,BUY,SMCI,3290,2.0751,6827.08,momentum_score=0.969,,0.0,,,
2014-05-30,BUY,PANW,570,12.4975,7123.58,momentum_score=0.991,,0.0,,,
