date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2025-11-20,SELL,MSFT,108,475.8325,51389.91,stop_loss,-4821.57,79.3,520.4767,538.6585,476.3088
2025-12-04,BUY,ORCL,306,213.234,65249.6,momentum_score=0.6,,0.0,,,
2025-12-12,SELL,ORCL,306,188.6209,57718.0,stop_loss,-7531.61,5.7,213.234,221.6479,188.8097
2025-12-22,BUY,ORCL,311,197.3655,61380.67,momentum_score=0.55,,0.0,,,
2026-01-02,SELL,CRWD,127,453.1264,57547.05,stop_loss,-7177.11,60.7,509.6391,557.53,453.58
2026-01-08,BUY,CRWD,120,464.3339,55720.07,momentum_score=0.8667,,0.0,,,
2026-01-21,SELL,ORCL,311,173.1015,53834.57,stop_loss,-7546.1,21.4,197.3655,203.9676,173.2748
2026-01-27,BUY,MSFT,120,478.9278,57471.34,momentum_score=0.7167,,0.0,,,
2026-01-27,BUY,ORCL,309,174.4656,53909.87,momentum_score=0.4167,,0.0,,,
2026-01-29,SELL,MSFT,120,431.1465,51737.58,stop_loss,-5733.76,1.4,478.9278,479.4947,431.5781
2026-02-03,SELL,ORCL,309,153.9776,47579.08,stop_loss,-6330.79,5.0,174.4656,174.4656,154.1317
2026-02-04,SELL,CRWD,120,414.9446,49793.35,stop_loss,-5926.72,19.3,464.3339,476.66,415.36
2026-02-10,BUY,ORCL,324,159.4928,51675.67,momentum_score=0.7333,,0.0,,,
2026-02-10,BUY,MSFT,123,411.8492,50657.45,momentum_score=0.65,,0.0,,,
2026-02-10,BUY,CRWD,124,413.8034,51311.62,momentum_score=0.6167,,0.0,,,
2026-02-23,SELL,ORCL,324,140.6774,45579.48,stop_loss,-6096.19,9.3,159.4928,159.5826,140.8182
2026-02-23,SELL,CRWD,124,349.9797,43397.48,stop_loss,-7914.14,9.3,413.8034,429.64,350.33
2026-02-27,BUY,ORCL,307,145.0388,44526.91,momentum_score=0.7333,,0.0,,,
2026-02-27,BUY,CRWD,120,372.352,44682.24,momentum_score=0.5,,0.0,,,
2026-03-24,SELL,MSFT,123,371.5625,45702.19,stop_loss,-4955.26,30.0,411.8492,411.8492,371.9344
2026-04-14,BUY,MSFT,122,392.6527,47903.63,momentum_score=0.65,,0.0,,,
2026-04-16,SELL,ORCL,307,178.1617,54695.64,take_profit,10168.73,34.3,145.0388,178.34,137.86
2026-04-17,BUY,ORCL,284,175.2351,49766.77,momentum_score=1.0,,0.0,,,
2026-04-21,SELL,CRWD,120,449.1604,53899.25,take_profit,9217.01,37.9,372.352,449.61,369.58
2026-04-22,BUY,CRWD,116,467.1467,54189.02,momentum_score=0.6667,,0.0,,,
2026-05-13,SELL,CRWD,116,562.0074,65192.86,take_profit,11003.84,15.0,467.1467,562.57,445.39
2026-05-14,BUY,CRWD,99,580.53,57472.47,momentum_score=1.0,,0.0,,,
