ticker,n_folds,timed_return,hold_return,outperformance,test_win_rate,oos_trades,avg_frac_long,param_stability,modal_fast,modal_slow,modal_trailing,timed_sharpe,hold_sharpe,timed_max_drawdown,hold_max_drawdown,timed_calmar,hold_calmar,exposure_matched_return,beats_exposure_matched
META,,0.47307326588446097,0.8051220586172065,-0.33204879273274557,,82,0.4594972067039106,,10,100,,0.7079808919247581,0.7515578892772015,-0.2736422132753875,-0.3415081378425483,0.5337636117675129,0.6765840231898316,0.3699513369903086,True
COIN,,1.3844692748631178,2.1602055862226055,-0.7757363113594877,,86,0.3421750663129973,,10,50,,0.8389112769421503,0.8742483355227826,-0.4788747332451012,-0.6638953815137103,0.7037299873325106,0.7063949195174141,0.7391684897154273,True
AMZN,,0.1638253725726082,0.8847278472539393,-0.7209024746813311,,80,0.5596816976127321,,20,50,,0.3515455912739845,0.8400647883898682,-0.2566146876058902,-0.3087663843187599,0.2026868031983649,0.7640963758680892,0.49516598347634266,False
GS,,0.24934452974662435,2.2065235046158436,-1.9571789748692192,,122,0.5698324022346368,,10,100,,0.5206940353611308,1.5688004270317024,-0.23418452299633372,-0.30895733437736933,0.3480299536083949,1.640871318957571,1.2573485892224359,False
BAC,,0.33788682550962923,1.0730770865045858,-0.7351902609949565,,95,0.5119363395225465,,10,50,,0.6942396316375584,1.110687333436536,-0.1448647040568064,-0.2750938028932611,0.7053310307611343,1.0029497352231982,0.5493471556906766,False
NFLX,,0.4248131564784583,0.8949453393471853,-0.47013218286872704,,56,0.5358090185676393,,20,50,,0.6619599242850192,0.8033282210289229,-0.3038007456494199,-0.4335127747768319,0.41346729055446724,0.5493784458157696,0.4795197839472983,False
TSM,,0.9785227281690041,3.1488499212981633,-2.1703271931291592,,67,0.629973474801061,,20,50,,0.9222763983083733,1.4311389132601224,-0.20861473857603346,-0.3681736934847641,1.2278734236094948,1.65377066188795,1.9836919265472515,False
MU,,3.335513000446647,13.304229857449753,-9.968716857003106,,71,0.5768156424581006,,20,100,,1.371446439021711,1.8642949498260633,-0.5326533444516911,-0.5762896725062464,1.2686527662848206,2.690961399250056,7.674087892635123,False
JPM,,0.4980425937182169,1.4355107274514252,-0.9374681337332083,,103,0.5663129973474801,,10,50,,1.0357122510391137,1.421834797987412,-0.19239817917148652,-0.24423927192984599,0.7516965840890251,1.418675581872368,0.8129483827874782,False
ASML,,0.4051278653001473,1.7515569449939217,-1.3464290796937743,,71,0.5083798882681564,,20,100,,0.5729679872913144,1.057906086787556,-0.2916771058892569,-0.45482342863890807,0.4359954209402046,0.9409072677509823,0.8904563239913232,False
COST,,0.43061522961169607,0.9626686418359611,-0.532053412224265,,78,0.5583554376657824,,20,50,,0.8863586874912084,1.2383857582483,-0.16560602519971687,-0.2074247446591883,0.767735012246156,1.2186557481613742,0.5375112708394424,False
CRWD,,0.7129709384422442,3.5227527473804754,-2.809781808938231,,59,0.5335195530726257,,20,100,,0.7851974319588549,1.3747891363410463,-0.2809892619200718,-0.4443707693970673,0.7422479916559334,1.577231195309604,1.8794574713677954,False
GOOGL,,0.9286849714908363,1.934886255668665,-1.0062012841778287,,64,0.6007957559681698,,20,50,,1.0722412849067475,1.362874170658622,-0.234250350759677,-0.2980587500209956,1.047970021754643,1.4530769171236986,1.1624714506868772,False
ORCL,,0.493505837254093,0.6383440987969304,-0.1448382615428374,,60,0.46153846153846156,,20,50,,0.5855885184129219,0.574172676949648,-0.2588518612894565,-0.5824985699540269,0.5542372234004685,0.3079687705985643,0.294620353290891,True
MSFT,,0.14956951178168065,0.2116733461007383,-0.06210383431905764,,54,0.4748603351955307,,20,100,,0.41432776102207236,0.40325154809009844,-0.14060088275363536,-0.33910095902930903,0.357618359800609,0.20616817951884073,0.10051527608135617,True
AMD,,2.1632301361168076,3.379505333587625,-1.2162751974708175,,74,0.3812849162011173,,10,100,,1.2707012865391858,1.1976515404132566,-0.35548945162685336,-0.6300028513679354,1.4058550141262076,1.0820858218981653,1.2885544079181868,True
AAPL,,0.26680279016445696,0.6062431640256682,-0.3394403738612113,,44,0.5106100795755968,,20,50,,0.6045772664814766,0.7403487144500404,-0.13622399516751804,-0.3336050612294847,0.6037768263562686,0.5144322289160758,0.30955387022530806,False
AVGO,,0.6016874168624649,3.408595685290159,-2.8069082684276943,,104,0.5111731843575419,,10,100,,0.6342163408556257,1.293031775846642,-0.26192300846367983,-0.4114967673858133,0.6884721450294752,1.6662106042109737,1.7423827106371481,False
PANW,,0.08056563914536463,1.4406039614384283,-1.3600383222930637,,67,0.5185676392572944,,20,50,,0.24912521538375396,0.9424209876256993,-0.47261316192031294,-0.36005964836825105,0.055510426285082744,0.9649421785846238,0.7470505953878321,False
TSLA,,0.24868479539952926,0.6163451883415203,-0.36766039294199104,,56,0.38687150837988826,,20,100,0.15,0.39862933923495725,0.5782438627537848,-0.4408510267371001,-0.537656801185852,0.18442100957325297,0.3424437234524346,0.23844639269637027,True
NVDA,,0.34919822714964144,3.5267129896826006,-3.177514762532959,,82,0.5824022346368715,,20,100,,0.48489496035238466,1.3592914260329347,-0.4683298453088621,-0.36881031125619185,0.2373773300508647,1.9017892068171818,2.0539655261140286,False
