signal,hedge,on%,wf_dSharpe,wf_dMaxDD,wf_pos%,ep_hit%,ep_dMaxDD,vsRand_dMaxDD,giveup_full,ret_full,sharpe_full,maxdd_full
vol>15,long_PSQ,34.3,-0.020492285866522582,0.04238479957828947,66.66666666666666,53.84615384615385,0.029496825828776663,0.05236752777803921,5.133031529979704,16.42699567002028,1.29173078564097,0.35048733819717226
vol>15,short_QQQ,34.3,-0.04185620529918228,0.041232282343363735,77.77777777777779,53.84615384615385,0.028656212213457377,0.05340927491596831,5.916795962001615,15.643231237998368,1.2733883236216965,0.3537963780557861
vol>15,short_SMH,34.3,-0.2018300940965495,0.03878559379482265,55.55555555555556,53.84615384615385,0.025586370810301462,0.03992860207071114,11.369652887065072,10.19037431293491,1.120420137280893,0.3692606138318173
vol>15,long_SOXS,34.3,-0.7366920918932897,-0.03791036297301804,22.22222222222222,23.076923076923077,-0.03385165837650202,0.01967685392179208,20.749489676717037,0.8105375232829475,0.34690966991048416,0.6175255495914095
vol>20,long_PSQ,19.3,-0.028370700282676978,0.028569500118833475,44.44444444444444,38.46153846153847,0.019467806276199817,0.021322997883805206,3.1040246298834013,18.45600257011658,1.2783772718871715,0.36833727447507336
vol>20,short_QQQ,19.3,-0.03658181422259979,0.02801603121747049,44.44444444444444,38.46153846153847,0.01903229914108764,0.03284571329904573,3.442369590707063,18.11765760929292,1.271969611728409,0.36940730962234225
vol>20,short_SMH,19.3,-0.10843618459302438,0.0278400378921237,44.44444444444444,38.46153846153847,0.018635904204228056,0.04455187747207773,6.07471907959162,15.485308120408362,1.2159542973755535,0.36832083075888455
vol>20,long_SOXS,19.3,-0.39633564643034624,-0.029528039565448708,22.22222222222222,7.6923076923076925,-0.017328308698257404,0.040836612186606835,16.20454941604818,5.3554777839518035,0.7356810222806712,0.4931784102072895
vol>25,long_PSQ,9.6,-0.04804778562927252,0.019471900490645375,44.44444444444444,30.76923076923077,0.013201020782528059,0.0321617248826796,3.2330354019208087,18.326991798079174,1.241874342208806,0.3714251134465153
vol>25,short_QQQ,9.6,-0.051760976537495826,0.019430541629726475,55.55555555555556,30.76923076923077,0.013180757875547476,0.03602021448579179,3.3995209678740466,18.160506232125936,1.2390573866580714,0.37176052262269765
vol>25,short_SMH,9.6,-0.10255698541186005,0.017663086210658447,44.44444444444444,30.76923076923077,0.01200952424755579,0.021323219036091356,5.467696851715765,16.092330348284218,1.1971850565115079,0.38671825289996486
vol>25,long_SOXS,9.6,-0.3517557335523669,-0.021754858135893222,11.11111111111111,7.6923076923076925,-0.014206782084181068,-0.07261778260092816,14.859836831835777,6.700190368164206,0.805891101950644,0.5222324670271152
spread20_neg,long_PSQ,51.1,-0.16664541746128808,0.02710687667151399,66.66666666666666,53.84615384615385,0.02069741611483278,0.02643044783517068,9.551868657628162,12.00815854237182,1.1424841011172504,0.3559648181648224
spread20_neg,short_QQQ,51.1,-0.20478951357373987,0.024703527681773578,77.77777777777779,53.84615384615385,0.018996624032347552,0.024969782381649486,10.624249408193885,10.935777791806098,1.1083634506085234,0.3617061575191508
spread20_neg,short_SMH,51.1,-0.28417737351593875,0.03136157908420983,55.55555555555556,53.84615384615385,0.028367186839899115,0.0304139816129107,12.697159804735623,8.86286739526436,1.045734078722448,0.36284730001430676
spread20_neg,long_SOXS,51.1,-0.8741040053547304,-0.07921318162267195,22.22222222222222,30.76923076923077,-0.022089265307809303,-0.10450555367872616,20.641929057284756,0.9180981427152253,0.364886158791725,0.7576935694184993
spread5_neg,long_PSQ,51.7,-0.15298201743597992,0.02943711094299147,88.88888888888889,92.3076923076923,0.026465847925477067,-0.003538932336345224,10.98528248981636,10.574744710183623,1.1057564804230275,0.3738185779589368
spread5_neg,short_QQQ,51.7,-0.19292921433373353,0.027578088224657498,88.88888888888889,92.3076923076923,0.025142536456524575,0.02233614749298818,11.984184474423781,9.575842725576202,1.0697316738116125,0.3740330285752028
