profile,ending_value,total_return,annualized_return,max_drawdown,sharpe,calmar,avg_exposure,peak_exposure,beta_qqq,corr_qqq,up_capture_qqq,down_capture_qqq,n_trades,trades_per_month,win_rate,avg_win,avg_loss,profit_factor,avg_holding_days,total_slippage_cost,largest_winner,largest_loser,corr_composite_fwd5d,corr_composite_fwd10d,corr_composite_fwd20d,spread_20d,capital_matched_avg_return,capital_matched_75_return,top3_pnl_share,semis_pnl_share,pnl_group_financial_crypto_beta,pnl_group_mega_cap_growth,pnl_group_semiconductors,pnl_group_software_cybersecurity,pnl_AAPL,pnl_AMD,pnl_AMZN,pnl_ASML,pnl_AVGO,pnl_BAC,pnl_COIN,pnl_COST,pnl_CRWD,pnl_GOOGL,pnl_GS,pnl_JPM,pnl_META,pnl_MSFT,pnl_MU,pnl_NFLX,pnl_NVDA,pnl_ORCL,pnl_PANW,pnl_TSLA,pnl_TSM
baseline,160200.26,0.6020026,0.0991652811304049,-0.19393750127469947,0.9665286547170899,0.5113259708855583,0.4038901941584106,0.6608374239321256,0.39315546802752244,0.8571123211002083,0.4479235311818527,0.43152888199104494,1971,32.8571960569551,0.5316326530612245,422.20965451055656,-348.6745969498911,1.3744624836386328,15.345306122448978,8079.35,1356.26,-1215.31,0.0024556823517941097,0.005909041981654211,0.004323261255200398,-0.00012305437899953753,1.1242101803811986,2.08759125,0.39306120400657735,0.29896620116227846,3253.9588000000012,17379.0874,17997.9446,3958.3579999999993,-115.32939999999996,5878.13,642.2100000000003,2032.4492,3248.99,-333.9255999999998,2755.5700000000006,3054.99,1203.1199999999997,2614.2511999999997,2592.2265,832.3144000000002,3159.6100000000006,-143.3999999999998,8870.8246,4944.321600000001,8913.565599999998,295.7800000000002,2755.2379999999994,2308.1800000000003,4691.4836000000005
trailing_stop_baseline,202539.07,1.0253907,0.15211807695195567,-0.23946537306765694,1.1348012395212292,0.6352403898870892,0.5170204274295094,0.7774114893498587,0.503673791907639,0.856336526672155,0.5869281671805876,0.5493872367763836,1051,17.520503833515882,0.41811175337186895,931.0869585253456,-369.0030463576159,1.8130637841788126,34.46763005780346,4692.91,7762.91,-1123.08,0.0024556823517941097,0.005909041981654211,0.004323261255200398,-0.00012305437899953753,1.4391030938308047,2.08759125,0.31214423082562576,0.2915237184605342,8525.655800000002,24239.341299999996,29892.568700000003,11891.678,3734.465,12023.73,2841.1799999999994,5354.466799999999,6366.830000000001,1547.5574000000008,5797.240000000002,3426.9300000000003,3410.44,5189.861,3794.3053,1180.8584,2238.5229,-738.0700000000002,11502.0087,5641.668200000001,6939.984799999998,2780.3699999999994,8481.238,4033.3976,6992.078099999999
grouped_ticker_overrides_v1,200735.38,1.0073538,0.15005216263145305,-0.290947448542523,1.0395745002133387,0.5157363069623976,0.5518742792053773,0.7967616246431733,0.5540353855263391,0.8636473022356296,0.6398450258318585,0.610230358372119,1128,18.80411829134721,0.46415770609318996,834.686332046332,-405.41070234113715,1.7834324661889591,31.862903225806452,5293.3,8734.28,-1382.25,0.0024556823517941097,0.005909041981654211,0.004323261255200398,-0.00012305437899953753,1.5361172218256036,2.08759125,0.35892490933558197,0.5867285407153857,11310.485200000003,23598.662900000003,59104.29269999999,6721.8884,3020.605599999999,14378.510000000002,1808.2900000000004,7357.478499999999,7426.709999999999,496.8796000000001,2987.9600000000014,3436.8100000000004,1798.9099999999999,5799.883000000001,5166.858000000001,2658.7876,2062.4191,-643.7900000000004,12985.2169,5211.855200000002,8792.692,1691.7000000000003,3231.2783999999997,2902.589999999999,8163.6853
grouped_ticker_overrides_conservative,188273.29,0.8827329,0.1353578498656396,-0.22709641362394384,1.1111129257516663,0.5960369329732479,0.47257015782588335,0.7464444373596149,0.4604646433890737,0.8586797085593731,0.5341513568068136,0.5021207755474202,1169,19.487601314348304,0.4672413793103448,700.1762730627306,-341.9997411003236,1.7955289998137738,30.230689655172412,4842.65,6373.66,-1106.34,0.0024556823517941097,0.005909041981654211,0.004323261255200398,-0.00012305437899953753,1.3153777686512442,2.08759125,0.3167366568814574,0.4991276795770138,14496.275200000002,22894.4419,44059.56019999999,6822.848,2845.1046,11942.11,1353.9199999999996,4662.2368,5611.07,678.6912000000001,6144.540000000002,3343.86,1773.19,5238.7300000000005,4986.838000000001,2686.2060000000006,2206.48,-152.42000000000027,9634.904599999998,5085.2473,6382.319999999999,1819.4200000000003,3230.2379999999994,2973.5200000000004,5826.9188
grouped_ticker_overrides_aggressive,203892.14,1.0389214000000002,0.15365822626933445,-0.3179325504099269,0.9777614893046371,0.4833044810014418,0.5931966010846863,0.7964150996806558,0.6128428334012994,0.8675125306211209,0.7010624548373163,0.6760855782885867,1043,17.387141292442497,0.4446601941747573,943.7055021834061,-419.9312937062938,1.7993999184848335,35.220388349514565,4889.09,10674.14,-1468.64,0.0024556823517941097,0.005909041981654211,0.004323261255200398,-0.00012305437899953753,1.6511360452721755,2.08759125,0.4452574876515684,0.6697267588022953,9998.040000000003,19437.060400000002,69579.3198,4877.680399999998,1088.4553999999996,15292.3,103.63000000000011,8138.8102,9966.2,711.5744000000004,2456.0,3650.6900000000005,945.5419999999993,5523.652,4669.118000000001,2161.3476000000005,1712.949100000001,291.3700000000004,17520.371,3687.043900000001,13446.064700000003,1091.8999999999992,2840.2383999999997,3379.27,5215.5739
grouped_signal_weights_only,142117.57,0.4211757000000001,0.0730668598321158,-0.19921975974087175,0.7503321587674576,0.3667651237364959,0.38700512806021015,0.5954110651181804,0.38974415678074525,0.8716046553462575,0.4257690210054254,0.4262762228731369,1844,30.740065717415117,0.5108932461873639,400.7299147121535,-325.59873051224946,1.2855695072767432,15.720588235294118,7136.5,1525.73,-1162.47,0.006232548561255657,0.00809987750904663,-0.0022919659674231633,-0.0005908799553479525,1.0772113587248322,2.08759125,0.3782500295202451,0.4814598959436677,4622.935200000001,12931.567200000001,20277.9863,4285.217199999999,154.36880000000036,2314.91,-537.0499999999996,3048.1727999999994,2144.79,-1518.0636000000004,3142.4900000000007,3333.5900000000006,3075.0499999999993,1540.3000000000002,2276.5060000000003,722.0028000000004,1522.94,1244.3400000000001,7028.343500000001,4308.209999999999,4594.470000000001,58.430000000000064,1151.7371999999991,1364.8683999999998,1147.2999999999997
grouped_signals_plus_exits,176502.64,0.7650264000000001,0.12074654187552558,-0.28437850021483113,0.8944421188965033,0.4245979980353955,0.5227639296165849,0.7665140523666176,0.5346323665606765,0.8721237094867204,0.6008156376533744,0.5876319210280289,1084,18.07062431544359,0.4450651769087523,766.024309623431,-372.6165771812081,1.6487773656530536,31.361638733705774,4604.01,8263.74,-1077.22,0.006232548561255657,0.00809987750904663,-0.0022919659674231633,-0.0005908799553479525,1.4550898737109312,2.08759125,0.4143336955686873,0.6221383668466393,3901.5257000000015,16805.6404,47595.2947,8200.287199999999,560.1314000000003,11695.58,448.55999999999995,5357.9659999999985,6892.660000000001,-269.2159999999999,563.4100000000007,2644.2200000000003,3675.2299999999996,3217.7290000000003,3079.4865000000004,527.8452000000003,2682.4099999999994,196.5999999999999,13109.426300000003,4607.19,5658.314999999999,364.81000000000006,4160.2472,2448.8,4881.347400000001
