ticker,n_folds,timed_return,hold_return,outperformance,test_win_rate,oos_trades,avg_frac_long,param_stability,modal_fast,modal_slow,modal_trailing,timed_sharpe,hold_sharpe,timed_max_drawdown,hold_max_drawdown,timed_calmar,hold_calmar,exposure_matched_return,beats_exposure_matched
META,,0.47307298983196766,0.8051213570725686,-0.33204836724060094,,82,0.4594972067039106,,10,100,,0.7079804477746873,0.7515574807401754,-0.27364213116417374,-0.3415081510267257,0.5337634956974118,0.6765835039935488,0.36995101463250707,True
COIN,,1.3844692748631178,2.1602055862226055,-0.7757363113594877,,86,0.3421750663129973,,10,50,,0.8389112769421503,0.8742483355227826,-0.4788747332451012,-0.6638953815137103,0.7037299873325106,0.7063949195174141,0.7391684897154273,True
AMZN,,0.1638253725726082,0.8847278472539393,-0.7209024746813311,,80,0.5596816976127321,,20,50,,0.3515455912739845,0.8400647883898682,-0.2566146876058902,-0.3087663843187599,0.2026868031983649,0.7640963758680892,0.49516598347634266,False
GS,,0.24934434366618574,2.2065237998644434,-1.9571794561982576,,122,0.5698324022346368,,10,100,,0.5206936379310797,1.5688004839188312,-0.23418434585438008,-0.3089573343773692,0.3480299747760298,1.6408714770255564,1.2573487574646547,False
BAC,,0.3378861352124751,1.0730769401798166,-0.7351908049673415,,95,0.5119363395225465,,10,50,,0.6942379245867464,1.110687026620182,-0.14486470405680665,-0.27509374298286077,0.7053297187577333,1.0029498442342615,0.5493470807817099,False
NFLX,,0.4248131564784583,0.8949453393471853,-0.47013218286872704,,56,0.5358090185676393,,20,50,,0.6619599242850192,0.8033282210289229,-0.3038007456494199,-0.4335127747768319,0.41346729055446724,0.5493784458157696,0.4795197839472983,False
TSM,,0.9785230200553299,3.1488502310767634,-2.1703272110214336,,67,0.629973474801061,,20,50,,0.9222763909126863,1.431139024449265,-0.20861474554398532,-0.36817376268734114,1.2278736794897418,1.6537704600915104,1.9836921216995527,False
MU,,3.33551323275329,13.304225086540274,-9.968711853786985,,71,0.5768156424581006,,20,100,,1.3714463955166516,1.8642946151624422,-0.5326535205656842,-0.5762896725062457,1.2686524061534852,2.6909608796666427,7.674085140699907,False
JPM,,0.4980436297080204,1.4355110096625752,-0.9374673799545548,,103,0.5663129973474801,,10,50,,1.0357141768967317,1.4218349755546753,-0.19239802155020813,-0.24423927192984649,0.7516985749777916,1.4186757953748648,0.8129485426073204,False
ASML,,0.4051267945557877,1.7515569449939217,-1.346430150438134,,71,0.5083798882681564,,20,100,,0.5729670063661475,1.0579060702579617,-0.2916775127341258,-0.454823551852998,0.4359937763546372,0.9409070128542598,0.8904563239913232,False
COST,,0.4306153693592969,0.9626686418359611,-0.5320532724766642,,78,0.5583554376657824,,20,50,,0.8863594601131918,1.238385921902356,-0.16560591734357719,-0.20742489219927687,0.7677357344628206,1.2186548813388096,0.5375112708394424,False
CRWD,,0.7129709384422442,3.5227527473804754,-2.809781808938231,,59,0.5335195530726257,,20,100,,0.7851974319588549,1.3747891363410463,-0.2809892619200718,-0.4443707693970673,0.7422479916559334,1.577231195309604,1.8794574713677954,False
GOOGL,,0.9286858166619405,1.934886255668665,-1.0062004390067245,,64,0.6007957559681698,,20,50,,1.0722416510577215,1.3628738899994302,-0.2342503763404424,-0.2980587500209953,1.0479706860158964,1.4530769171237,1.1624714506868772,False
ORCL,,0.49350770386753995,0.6383439875787664,-0.14483628371122648,,60,0.46153846153846156,,20,50,,0.5855898564588734,0.5741726230609284,-0.2588518612894566,-0.5824985699540273,0.5542390686206314,0.3079687246615368,0.2946203019594307,True
MSFT,,0.14956889070540402,0.2116733461007383,-0.06210445539533427,,54,0.4748603351955307,,20,100,,0.4143263412733218,0.40325151033141143,-0.14060095375829787,-0.33910095902930976,0.35761675878703547,0.20616817951884028,0.10051527608135617,True
AMD,,2.1632301361168076,3.379505333587625,-1.2162751974708175,,74,0.3812849162011173,,10,100,,1.2707012865391858,1.1976515404132566,-0.35548945162685336,-0.6300028513679354,1.4058550141262076,1.0820858218981653,1.2885544079181868,True
AAPL,,0.26680301944447193,0.6062432992502738,-0.3394402798058018,,44,0.5106100795755968,,20,50,,0.6045779498589812,0.740348857816884,-0.13622414996333376,-0.33360514024537147,0.6037766208385774,0.5144322058863262,0.30955393927235464,False
AVGO,,0.6016881621617483,3.4085952971865945,-2.8069071350248462,,104,0.5111731843575419,,10,100,,0.6342168116981592,1.293031789702908,-0.26192300846368094,-0.41149676738581353,0.6884728830509015,1.6662104772900086,1.7423825122490133,False
PANW,,0.08056563914536463,1.4406039614384283,-1.3600383222930637,,67,0.5185676392572944,,20,50,,0.24912521538375396,0.9424209876256993,-0.47261316192031294,-0.36005964836825105,0.055510426285082744,0.9649421785846238,0.7470505953878321,False
TSLA,,0.24868479539952926,0.6163451883415203,-0.36766039294199104,,56,0.38687150837988826,,20,100,0.15,0.39862933923495725,0.5782438627537848,-0.4408510267371001,-0.537656801185852,0.18442100957325297,0.3424437234524346,0.23844639269637027,True
NVDA,,0.34919752442622554,3.5267129896826006,-3.1775154652563753,,82,0.5824022346368715,,20,100,,0.4848943500057572,1.3592912954223637,-0.4683300268251943,-0.3688103758053042,0.23737680311191228,1.9017888739664455,2.0539655261140286,False
