rank,ticker,score,clears_gate,rank_close_px,mark_px,return,held
1,ARM,0.958,True,412.55,402.360107421875,-0.024699775974124427,False
2,LRCX,0.943,True,388.92,376.8299865722656,-0.031086119067505913,False
3,KLAC,0.928,True,256.4200134277344,244.24000549316406,-0.047500223448833645,True
4,AMAT,0.911,True,585.78,579.3049926757812,-0.011053650387890857,False
5,HOOD,0.901,True,98.12000274658203,96.91500091552734,-0.012280898872036206,False
6,AMD,0.885,True,547.26,519.2650146484375,-0.051154817365717364,False
7,MRVL,0.856,True,308.88,291.614990234375,-0.05589552501173589,False
8,ASML,0.852,True,1892.6600341796875,1831.4599609375,-0.03233548135268394,False
9,MU,0.849,True,1087.99,1047.77001953125,-0.03696723358555687,True
10,INTC,0.831,True,127.86,120.13500213623047,-0.06041762759087699,False
74,WDAY,0.232,False,129.60000610351562,125.95999908447266,-0.02808647258963537,False
75,TWLO,0.23,False,202.0,192.44500732421875,-0.04730194393951115,False
76,CRM,0.224,False,164.55,160.6999969482422,-0.023397162271393657,False
77,SEDG,0.219,False,60.189998626708984,57.94499969482422,-0.03729853768244751,True
78,OXY,0.217,False,54.46,53.63999938964844,-0.015056933719272192,True
79,ZS,0.189,False,130.4199981689453,125.84500122070312,-0.03507895271027195,False
80,SAP,0.146,False,164.33,164.89999389648438,0.0034685930535165443,False
81,HUBS,0.125,False,186.05999755859375,181.2100067138672,-0.02606681128865007,False
82,INTU,0.101,False,281.77,276.510009765625,-0.018667673046722455,False
83,PLUG,0.055,False,2.8,2.7249999046325684,-0.026785748345511284,False
