rank,ticker,score,clears_gate,rank_close_px,mark_px,return,held
1,CRWD,0.8333,True,682.7999877929688,692.9099731445312,0.014806657194358364,True
2,MSFT,0.6833,True,390.739990234375,399.760009765625,0.023084454513702557,False
3,ORCL,0.4833,True,184.1300048828125,192.63999938964844,0.04621731538133633,False
