ticker,n_folds,timed_return,hold_return,outperformance,test_win_rate,oos_trades,avg_frac_long,param_stability,modal_fast,modal_slow,modal_trailing,timed_sharpe,hold_sharpe,timed_max_drawdown,hold_max_drawdown,timed_calmar,hold_calmar,exposure_matched_return,beats_exposure_matched
NVDA,15,2.6684570212184444,6.617770541257324,-3.949313520038879,0.3333333333333333,113,0.5661375661375662,0.4,20,100,,1.2084989335603644,1.2796842316157937,-0.3330704196305081,-0.6633508667198117,1.2659467310485546,1.104344476095499,3.746568507484305,False
MSFT,15,0.20339474623512044,1.368592777431505,-1.1651980311963845,0.4,135,0.5619047619047619,0.3333333333333333,20,100,,0.3672438533794399,0.8642182754358824,-0.27731464372217773,-0.37148481426837215,0.18531959919272975,0.7076759466769653,0.7690187987472266,False
AAPL,15,1.0776649157306992,2.5887853492475856,-1.5111204335168864,0.4666666666666667,88,0.5608465608465608,0.7333333333333333,20,50,,1.0443045421960142,1.159960905451713,-0.25024461389297226,-0.31427260008971286,0.8746567375270258,1.3148620700837887,1.4519113598954712,False
AMZN,15,0.22794654137773684,0.18021639335447137,0.04773014802326547,0.3333333333333333,81,0.40211640211640204,0.6666666666666666,20,50,,0.3663850019116155,0.3050769995016126,-0.37700249334524755,-0.5614526325328261,0.15160463098388932,0.08170150650007221,0.0724679676980943,True
GOOGL,15,-0.0919365874004977,0.8329636701068419,-0.9249002575073396,0.2,118,0.512169312169312,0.6666666666666666,20,50,,-0.04960102167345888,0.6535801917817827,-0.38755139593759086,-0.44320053982592994,-0.06648556998100658,0.4021401898728716,0.426618429980647,False
META,15,0.6391245077173358,0.2598976420051682,0.37922686571216757,0.4666666666666667,92,0.38624338624338617,0.4666666666666667,10,100,,0.6907982450929745,0.37197987030437085,-0.285778922693554,-0.7673609445664669,0.500794063648149,0.08409504767784362,0.10038374532474748,True
TSLA,15,7.569380549075168,10.03954247164349,-2.4701619225683213,0.4666666666666667,80,0.5015873015873017,0.26666666666666666,20,100,0.15,1.45312065134762,1.2726457982394126,-0.41441039089649684,-0.7363221744219123,1.903088056321676,1.243463754015154,5.035707017522768,True
NFLX,15,-0.19682650179490435,0.08846815381645223,-0.2852946556113566,0.2,122,0.4137566137566137,0.4,20,50,,-0.08759168182023035,0.3016905204492979,-0.4992320733925903,-0.759473182516135,-0.11538225439740685,0.030561846760995024,0.036604283748394514,False
AVGO,15,0.0016898094804567165,1.6580994516970118,-1.656409642216555,0.2,144,0.5417989417989417,0.3333333333333333,10,100,,0.1077151871580629,0.8840297369908399,-0.3185363549111339,-0.48299974122395456,0.0014350338918550718,0.6271874022541053,0.8983565283268464,False
AMD,15,0.7688868846141779,2.2559095298624205,-1.4870226452482427,0.26666666666666666,102,0.39682539682539686,0.4,10,100,,0.6407729992244232,0.8518163244472579,-0.3559389536724923,-0.654499429550688,0.4689987165470904,0.5752111758053471,0.8952021943898495,False
TSM,15,0.9492673209538842,1.2520549415512052,-0.302787620597321,0.4,99,0.4666666666666667,0.6666666666666666,20,50,,0.8698498004649882,0.7630796748871111,-0.3408817640160474,-0.5646656484133911,0.5808838983438203,0.43523370270809186,0.5842923060572291,True
ASML,15,1.4742001213209055,2.148105252812316,-0.6739051314914106,0.3333333333333333,100,0.5174603174603175,0.5333333333333333,20,100,,1.108527860560208,0.9231959202162447,-0.24456475039134157,-0.5686183483422904,1.136265487120135,0.6401258163136736,1.1115592260584366,True
MU,15,0.17007628989458556,0.4758361898741068,-0.30575989997952124,0.3333333333333333,86,0.3724867724867725,0.8666666666666667,20,100,,0.29318186335383956,0.4573595665317749,-0.3005716364653769,-0.4962753143131861,0.14449669406106652,0.22387561853956323,0.1772426865986091,False
ORCL,15,-0.12717057627545048,0.9312407807492542,-1.0584113570247047,0.13333333333333333,114,0.4518518518518518,0.5333333333333333,20,50,,-0.1289097478368369,0.7124943452838524,-0.2766913473842487,-0.4036482822114767,-0.13063890133684336,0.48310306114932533,0.4207828713015148,False
CRWD,12,-0.12643342290971782,0.5899621123179479,-0.7163955352276657,0.3333333333333333,70,0.42063492063492064,0.4166666666666667,20,100,,0.02495456905000394,0.5567414203404635,-0.5261876783887073,-0.6769220151886319,-0.0849368744675021,0.2508750199817683,0.24815866629247016,False
PANW,15,-0.10987331393666411,1.710444301535769,-1.8203176154724332,0.26666666666666666,87,0.5153439153439153,0.4,20,50,,-0.02243065822588905,0.8552584023510964,-0.5707572651308522,-0.47027329925285105,-0.054337226197201154,0.6588234646730275,0.8814670633311318,False
