date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2019-01-03,BUY,MSFT,318,90.8187,28880.35,momentum_score=0.8,,0.0,,,
2019-01-03,BUY,ORCL,740,40.1516,29712.18,momentum_score=0.7,,0.0,,,
2019-02-13,SELL,ORCL,740,46.1954,34184.6,take_profit,4472.41,29.3,40.1516,46.2416,40.1115
2019-02-14,BUY,ORCL,695,46.3418,32207.55,momentum_score=0.875,,0.0,,,
2019-02-14,SELL,MSFT,318,99.4776,31633.88,max_holding_period,2753.53,30.0,90.8187,100.3317,90.728
2019-02-15,BUY,MSFT,322,100.9076,32492.25,momentum_score=0.5,,0.0,,,
2019-03-29,SELL,MSFT,322,110.2198,35490.78,max_holding_period,2998.53,30.0,100.9076,112.463,100.2363
2019-04-01,BUY,MSFT,303,111.4518,33769.9,momentum_score=0.825,,0.0,,,
2019-05-09,SELL,ORCL,695,48.9561,34024.49,max_holding_period,1816.94,60.0,46.3418,50.0529,46.2955
2019-05-10,BUY,ORCL,696,49.4158,34393.4,momentum_score=0.725,,0.0,,,
2019-05-13,SELL,MSFT,303,115.2757,34928.54,max_holding_period,1158.64,30.0,111.4518,122.1733,111.3404
2019-05-14,BUY,MSFT,292,116.7987,34105.22,momentum_score=0.825,,0.0,,,
2019-06-25,SELL,MSFT,292,125.1574,36545.96,max_holding_period,2440.74,30.0,116.7987,129.3671,112.5225
2019-06-26,BUY,MSFT,278,125.8779,34994.06,momentum_score=0.675,,0.0,,,
2019-07-12,BUY,CRWD,508,73.5735,37375.34,momentum_score=0.8167,,0.0,,,
2019-07-22,SELL,CRWD,508,87.5923,44496.89,take_profit,7121.55,7.1,73.5735,87.68,69.54
2019-07-23,BUY,CRWD,430,86.8267,37335.48,momentum_score=1.0,,0.0,,,
2019-08-02,SELL,ORCL,696,50.5949,35214.05,max_holding_period,820.65,60.0,49.4158,54.3347,45.3828
2019-08-05,BUY,ORCL,739,48.8078,36068.96,momentum_score=0.6,,0.0,,,
2019-08-07,SELL,MSFT,278,126.8928,35276.2,max_holding_period,282.14,30.0,125.8779,132.7097,124.1372
2019-08-07,SELL,CRWD,430,84.1358,36178.39,trailing_stop,-1157.09,10.7,86.8267,94.0,84.22
2019-08-08,BUY,MSFT,289,130.5397,37725.97,momentum_score=0.7833,,0.0,,,
2019-08-08,BUY,CRWD,435,91.7417,39907.64,momentum_score=0.5333,,0.0,,,
2019-08-23,SELL,CRWD,435,88.3416,38428.6,trailing_stop,-1479.04,10.7,91.7417,99.65,88.43
2019-08-26,BUY,CRWD,401,88.9689,35676.53,momentum_score=0.65,,0.0,,,
2019-09-06,SELL,CRWD,401,75.904,30437.5,stop_loss+trailing_stop,-5239.02,7.9,88.9689,88.9689,75.98
2019-09-09,BUY,CRWD,456,67.1671,30628.2,momentum_score=0.5667,,0.0,,,
2019-09-19,SELL,MSFT,289,132.7643,38368.88,max_holding_period,642.91,30.0,130.5397,132.8972,125.6622
2019-09-20,BUY,MSFT,264,131.4931,34714.18,momentum_score=1.0,,0.0,,,
2019-09-24,SELL,CRWD,456,62.4575,28480.62,trailing_stop,-2147.58,10.7,67.1671,71.65,62.52
2019-09-25,BUY,CRWD,545,62.082,33834.69,momentum_score=0.3333,,0.0,,,
2019-09-27,SELL,CRWD,545,53.4065,29106.54,stop_loss+trailing_stop,-4728.15,1.4,62.082,62.082,53.46
2019-09-30,BUY,CRWD,614,58.3683,35838.14,momentum_score=0.5667,,0.0,,,
2019-10-07,SELL,CRWD,614,68.7112,42188.68,take_profit,6350.54,5.0,58.3683,68.78,56.63
2019-10-08,BUY,CRWD,506,65.3653,33074.84,momentum_score=1.0,,0.0,,,
2019-10-14,SELL,CRWD,506,54.4655,27559.54,stop_loss+trailing_stop,-5515.3,4.3,65.3653,65.3653,54.52
2019-10-15,BUY,CRWD,619,55.2652,34209.16,momentum_score=0.5667,,0.0,,,
2019-10-18,SELL,CRWD,619,46.993,29088.67,stop_loss+trailing_stop,-5120.49,2.1,55.2652,55.2652,47.04
2019-10-21,BUY,CRWD,673,47.4474,31932.1,momentum_score=0.45,,0.0,,,
2019-10-28,SELL,ORCL,739,49.7284,36749.29,max_holding_period,680.32,60.0,48.8078,51.828,46.7818
2019-10-29,BUY,ORCL,648,49.9739,32383.09,momentum_score=0.4667,,0.0,,,
2019-11-01,SELL,MSFT,264,135.2584,35708.22,max_holding_period,994.04,30.0,131.4931,136.2322,126.8492
2019-11-04,BUY,MSFT,239,136.3118,32578.52,momentum_score=0.9667,,0.0,,,
2019-11-07,SELL,CRWD,673,45.4545,30590.88,trailing_stop,-1341.22,12.1,47.4474,51.84,45.5
2019-11-08,BUY,CRWD,701,47.2572,33127.3,momentum_score=0.3333,,0.0,,,
2019-11-15,SELL,CRWD,701,59.6902,41842.83,take_profit,8715.53,5.0,47.2572,59.75,46.2
2019-11-18,BUY,CRWD,585,57.1271,33419.35,momentum_score=1.0,,0.0,,,
2019-12-06,SELL,CRWD,585,50.8391,29740.87,stop_loss+trailing_stop,-3678.48,12.9,57.1271,58.0,50.89
2019-12-09,BUY,CRWD,663,49.049,32519.49,momentum_score=0.7667,,0.0,,,
2019-12-16,SELL,MSFT,239,146.8711,35102.19,max_holding_period,2523.67,30.0,136.3118,147.0181,135.714
2019-12-17,BUY,MSFT,230,146.3703,33665.17,momentum_score=0.7667,,0.0,,,
2020-01-10,SELL,CRWD,663,57.1428,37885.68,take_profit,5366.19,22.9,49.049,57.2,47.3
2020-01-13,BUY,CRWD,629,59.029,37129.24,momentum_score=1.0,,0.0,,,
