date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2015-01-05,BUY,JPM,183,44.8826,8213.52,momentum_score=0.8096,,0.0,,,
2015-01-05,BUY,FTNT,1380,6.1101,8431.94,momentum_score=0.7962,,0.0,,,
2015-01-06,BUY,NXPI,126,64.0525,8070.61,momentum_score=0.8769,,0.0,,,
2015-01-06,BUY,QCOM,158,52.8286,8346.92,momentum_score=0.8192,,0.0,,,
2015-01-07,BUY,MRVL,635,13.5332,8593.58,momentum_score=0.9087,,0.0,,,
2015-01-07,BUY,COST,74,116.1092,8592.08,momentum_score=0.8606,,0.0,,,
2015-01-08,BUY,PANW,406,21.2229,8616.5,momentum_score=0.8981,,0.0,,,
2015-01-08,BUY,ON,840,10.3804,8719.54,momentum_score=0.8385,,0.0,,,
2015-01-09,BUY,PFE,460,18.8632,8677.07,momentum_score=0.8548,,0.0,,,
2015-01-09,BUY,AVGO,1103,7.915,8730.25,momentum_score=0.8365,,0.0,,,
2015-01-12,BUY,CSCO,436,19.9362,8692.18,momentum_score=0.7702,,0.0,,,
2015-01-22,SELL,JPM,183,42.6032,7796.39,rotation_funded,-417.13,12.1,44.8826,44.8826,40.7205
2015-01-23,BUY,NFLX,1393,6.2557,8714.19,momentum_score=0.9904,,0.0,,,
2015-01-30,SELL,QCOM,158,45.185,7139.23,rotation_funded,-1207.69,17.1,52.8286,53.9562,45.2302
2015-02-02,BUY,BA,65,128.0502,8323.26,momentum_score=0.9385,,0.0,,,
2015-02-02,SELL,CSCO,436,19.031,8297.52,rotation_funded,-394.67,15.0,19.9362,20.2358,18.7235
2015-02-03,BUY,NOW,569,14.5445,8275.82,momentum_score=0.9135,,0.0,,,
2015-02-09,SELL,PANW,406,20.8175,8451.9,rotation_funded,-164.59,22.9,21.2229,21.5483,20.3467
2015-02-10,BUY,AMD,2829,3.043,8608.65,momentum_score=0.9029,,0.0,,,
2015-02-18,SELL,COST,74,122.4234,9059.33,rotation_funded,467.25,30.0,116.1092,125.3164,111.83
2015-02-19,BUY,HUBS,218,41.2312,8988.4,momentum_score=0.9125,,0.0,,,
2015-03-23,SELL,NFLX,1393,6.0653,8448.96,rotation_funded,-265.23,42.1,6.2557,6.9004,5.9789
2015-03-24,BUY,LLY,147,62.2827,9155.56,momentum_score=0.95,,0.0,,,
2015-04-10,SELL,ON,840,11.5684,9717.46,rotation_funded,997.92,65.7,10.3804,13.16,9.68
2015-04-13,BUY,AXON,334,27.047,9033.7,momentum_score=0.925,,0.0,,,
2015-04-14,SELL,NXPI,126,87.108,10975.61,rotation_funded,2904.99,70.0,64.0525,95.5054,63.9885
2015-04-15,BUY,GE,77,113.3856,8730.69,momentum_score=0.9135,,0.0,,,
2015-04-15,SELL,AVGO,1103,9.5085,10487.88,rotation_funded,1757.63,68.6,7.915,10.1636,7.6372
2015-04-16,BUY,NFLX,1321,8.0373,10617.27,momentum_score=0.9173,,0.0,,,
2015-04-17,SELL,AMD,2829,2.5774,7291.46,stop_loss,-1317.18,47.1,3.043,3.21,2.58
2015-04-20,BUY,OXY,152,57.7678,8780.71,momentum_score=0.901,,0.0,,,
2015-04-30,SELL,MRVL,635,12.6271,8018.21,rotation_funded,-575.37,80.7,13.5332,14.913,12.6397
2015-05-01,BUY,MSFT,212,41.6296,8825.48,momentum_score=0.9396,,0.0,,,
2015-05-06,SELL,NOW,569,14.6453,8333.18,rotation_funded,57.36,65.7,14.5445,16.568,14.53
2015-05-07,BUY,MELI,60,143.9044,8634.26,momentum_score=0.95,,0.0,,,
2015-05-11,SELL,FTNT,1380,7.7862,10744.96,max_holding_period,2313.02,90.0,6.1101,7.802,5.844
2015-05-12,BUY,SEDG,268,34.1741,9158.66,momentum_score=0.9962,,0.0,,,
2015-05-15,SELL,PFE,460,19.9346,9169.92,max_holding_period,492.84,90.0,18.8632,20.6351,18.0364
2015-05-18,BUY,TSLA,561,16.5999,9312.54,momentum_score=0.8887,,0.0,,,
2015-05-29,SELL,BA,65,124.3301,8081.46,rotation_funded,-241.81,82.9,128.0502,139.3179,124.4546
2015-06-01,BUY,AVGO,835,11.0955,9264.74,momentum_score=0.9849,,0.0,,,
2015-06-16,SELL,MELI,60,142.0431,8522.59,rotation_funded,-111.68,28.6,143.9044,147.6345,140.1245
2015-06-17,BUY,ANET,1801,5.3629,9658.58,momentum_score=0.9849,,0.0,,,
