ticker,eligible,entry_filter,stop_loss,take_profit,trailing_stop,max_holding_days,active_return,hold_return,excess,active_dd,hold_dd,active_sharpe,hold_sharpe,total_trades,win_rate,profit_factor,slippage_cost,oos_active_return,oos_hold_return,oos_excess,oos_active_sharpe
NVDA,True,above_50ma,0.075,,,30,7.294865302206823,5.960879388692849,1.333985913513974,-0.4261638780932325,-0.6633509053232783,1.837217637962785,1.4675608032147973,24,0.5833333333333334,4.013133397947629,0.13623333881313945,0.02408262224462354,0.6415990735881996,-0.617516451343576,0.21675432863777946
MSFT,True,above_50ma,0.075,,0.1,30,0.995272466300998,0.7410123921880132,0.2542600741129848,-0.23272113596867727,-0.37148465203596337,1.22405995283198,0.8129737408333204,20,0.631578947368421,2.908338679301383,0.05307436991007484,-0.0488378684168147,-0.10016604078674629,0.05132817236993159,-0.038333678984521134
AAPL,False,composite,0.1,,,60,0.7811781677075114,0.6608805687900314,0.12029759891747993,-0.24072967743549006,-0.3091281553301483,0.967797510301508,0.7582246924245569,9,0.75,3.0404088319211757,0.020696772413946567,,,,
AMZN,True,above_50ma,0.075,0.15,,30,0.5946933427876082,0.10459327947158559,0.4901000633160226,-0.2741977710493693,-0.5614526325328256,0.7464188601193864,0.27586271889613084,20,0.631578947368421,2.288804329816219,0.04550602142095106,0.16718731782383478,0.2764193045685821,-0.10923198674474732,0.44226345172587095
GOOGL,True,qqq_above_50ma,0.075,0.2,,30,0.5933036426365645,0.4536592173239884,0.13964442531257615,-0.3310373630196969,-0.443200533990472,0.7473586862183115,0.5522602906139773,23,0.45454545454545453,1.9207271232236687,0.04983889529837818,0.850867357897114,1.038660361103911,-0.18779300320679693,1.3027825042540278
META,True,qqq_above_50ma,0.1,0.2,0.1,60,1.7658477420351715,0.512545121375175,1.2533026206599964,-0.37247016188942594,-0.7673608842080047,1.1491286350286807,0.5320144589135718,20,0.5789473684210527,2.8113218524694195,0.05436321112244952,0.19047852656813236,0.1218137119487821,0.06866481461935026,0.4449043880980255
TSLA,True,composite,0.075,0.15,0.15,30,0.657316614449281,-0.13893704324791734,0.7962536576971984,-0.3291615233180508,-0.7363221744219123,0.6351625274024749,0.20049299874451015,24,0.5833333333333334,1.7006035547607707,0.07313342015527716,0.2732580255378898,1.2924587290148608,-1.019200703476971,0.5035429827865873
NFLX,True,above_50ma,0.075,0.2,,60,1.7630293011949094,0.3004060646889162,1.4626232365059932,-0.2529264245535288,-0.7594731825161352,1.1985820164042627,0.437730484578095,20,0.5789473684210527,2.5856418726644432,0.06402813798431126,0.09050280053064763,0.2358859245491971,-0.14538312401854947,0.2980045626051172
AVGO,False,ret20_pos,0.1,0.15,0.1,60,2.3125531733507154,2.404325702045354,-0.09177252869463848,-0.3286717741419798,-0.3516219767774859,1.5015310768604504,1.3895422632777366,19,0.5555555555555556,4.176739757615546,0.06491400204172494,,,,
AMD,True,above_50ma,0.075,0.2,,30,1.3726313523391842,0.9649294849377701,0.4077018674014141,-0.4681190541261161,-0.6544994295506885,0.9343359334668511,0.6925998481201227,25,0.4583333333333333,2.0677451174607313,0.08745150861400519,0.9209536316491591,2.1925236506937256,-1.2715700190445665,0.9440419031658143
