rank,ticker,score,clears_gate,rank_close_px,mark_px,return,held
1,ARM,0.9723,True,412.55,402.3799133300781,-0.024651767470420305,True
2,KLAC,0.9307,True,256.4200134277344,244.22500610351562,-0.04755871884257434,True
3,HOOD,0.8964,True,98.12000274658203,95.25499725341797,-0.029198995240181658,False
4,LRCX,0.8873,True,388.92,376.0299987792969,-0.033143065979386876,False
5,AMD,0.8657,True,547.26,522.5,-0.04524357709315496,False
6,ASML,0.8476,True,1892.6600341796875,1828.4000244140625,-0.03395221994713726,False
7,AMAT,0.8458,True,585.78,580.4249877929688,-0.009141678116410978,False
8,INTC,0.8428,True,127.86,120.18000030517578,-0.060065694469139785,False
9,MU,0.8247,True,1087.99,1045.0001220703125,-0.039513118622126586,False
10,MRVL,0.8175,True,308.88,292.57501220703125,-0.05278745076718705,True
11,DASH,0.759,True,168.08999633789062,171.14999389648438,0.01820451915795518,False
12,ANET,0.7566,True,169.08999633789062,168.27999877929688,-0.0047903340004522565,False
13,GE,0.7554,True,342.26,349.4400939941406,0.020978478332672967,False
14,FTNT,0.7066,True,149.49,145.8699951171875,-0.024215699262910673,True
15,PANW,0.6964,False,284.5400085449219,279.70001220703125,-0.01700989735201508,True
16,GS,0.6699,False,1076.17,1091.780029296875,0.014505170462728811,False
17,RBLX,0.6681,False,45.65999984741211,47.75,0.04577310905765031,False
18,SOFI,0.6542,False,17.1299991607666,17.4950008392334,0.021307746430179186,False
19,VST,0.65,False,153.52000427246094,158.1999969482422,0.030484578853159805,False
20,MCHP,0.6488,False,100.32,97.41000366210938,-0.029007140529212716,False
21,CRWD,0.6458,False,692.9099731445312,682.3049926757812,-0.015304990373602223,True
22,DELL,0.6392,False,409.07000732421875,408.57000732421875,-0.001222284672666607,True
23,BAC,0.6373,False,55.87,56.86000061035156,0.017719717385923817,False
24,ABNB,0.6313,False,138.9600067138672,140.14500427246094,0.0085276158703258,False
25,TSM,0.612,False,441.3999938964844,430.6405029296875,-0.024375829441719787,False
26,MELI,0.5952,False,1646.36,1675.2099609375,0.017523482675417368,False
27,NU,0.594,False,12.430000305175781,12.621999740600586,0.015446454602648485,False
28,BA,0.5873,False,228.95,226.97500610351562,-0.008626310969575779,False
29,ON,0.5861,False,125.9,121.34510040283203,-0.03617871006487672,False
30,OKTA,0.5771,False,118.12000274658203,115.58999633789062,-0.02141894979565273,True
31,DDOG,0.5693,False,233.08999633789062,234.3800048828125,0.005534379703931336,True
32,TXN,0.5578,False,313.34,311.385009765625,-0.006239197786350181,False
33,SNOW,0.5578,False,240.77999877929688,239.33999633789062,-0.005980573339591122,True
34,SHOP,0.5566,False,112.48999786376953,112.44499969482422,-0.0004000192888242715,False
35,UBER,0.5554,False,72.8499984741211,74.1500015258789,0.017844929018352884,False
36,SNAP,0.5482,False,5.710000038146973,5.680699825286865,-0.005131385755579809,False
37,NXPI,0.5343,False,315.88,309.6300048828125,-0.019785979223716277,False
38,JPM,0.5337,False,319.4,330.1650085449219,0.03370384641490887,False
39,NET,0.5235,False,235.7100067138672,233.1699981689453,-0.010775989447088796,False
40,PYPL,0.5187,False,42.4900016784668,43.26499938964844,0.018239531197156822,False
41,SE,0.5127,False,86.66000366210938,87.25499725341797,0.006865838520253131,False
42,PFE,0.5024,False,26.0,26.067100524902344,0.002580789419320828,False
