rank,ticker,score,clears_gate,rank_close_px,mark_px,return,held
1,TSLA,0.916,True,27.64666748046875,27.8886661529541,0.008753267375039453,True
2,AAPL,0.9146,True,70.20731353759766,70.72029113769531,0.007306612007350832,True
3,OXY,0.8903,True,36.801239013671875,37.262386322021484,0.012530754961219914,False
4,AMD,0.8861,True,45.52000045776367,45.86000061035156,0.007469247565218273,True
5,SHOP,0.8188,True,39.63600158691406,39.757999420166016,0.003077955100603047,True
6,ON,0.8132,True,24.290000915527344,24.3799991607666,0.0037051561073315753,False
7,SE,0.7354,True,39.209999084472656,40.220001220703125,0.025758790099804862,False
8,AMZN,0.7299,True,92.34449768066406,92.39199829101562,0.0005143848474418178,False
9,KLAC,0.7222,True,16.55861473083496,16.540048599243164,-0.0011212370052443577,False
10,SNAP,0.7215,True,15.890000343322754,16.329999923706055,0.027690344296826597,False
11,ASML,0.7021,True,278.40472412109375,279.3959655761719,0.0035604333159482415,True
12,BAC,0.6944,False,30.011091232299805,30.07085609436035,0.0019914258231377158,False
13,JPM,0.6924,False,116.36542510986328,117.01175689697266,0.005554328414124399,False
14,ADBE,0.6861,False,328.3399963378906,329.80999755859375,0.004477070223240176,False
15,MCHP,0.6819,False,46.30948257446289,46.19039535522461,-0.0025715514969703035,False
16,QCOM,0.666,False,76.64177703857422,76.46843719482422,-0.002261688734888745,False
17,AXON,0.6389,False,73.51000213623047,73.27999877929688,-0.0031288715854931315,True
18,DELL,0.6326,False,23.47878646850586,23.70015525817871,0.009428459599894357,False
19,SPOT,0.6312,False,149.80999755859375,149.5500030517578,-0.0017354950341965658,True
20,HUBS,0.6174,False,158.24000549316406,158.5,0.001643039040763794,False
21,MSFT,0.6146,False,148.96536254882812,149.06932067871094,0.0006978678002997896,False
22,INTC,0.6069,False,52.59031677246094,52.7932014465332,0.0038578332766101564,False
23,GS,0.6056,False,197.3502960205078,197.46194458007812,0.0005657379888537317,False
24,NXPI,0.5958,False,114.76689147949219,114.5059585571289,-0.0022735905712834015,False
25,TSM,0.5951,False,51.551700592041016,51.77448272705078,0.004321528338565805,True
26,CSCO,0.5812,False,39.27545928955078,39.58082962036133,0.00777509254721287,False
27,LLY,0.5715,False,121.73837280273438,121.85890197753906,0.0009900672403433397,True
28,SMCI,0.5701,False,2.4000000953674316,2.4019999504089355,0.0008332729008486695,True
29,MRVL,0.566,False,25.69091796875,25.836833953857422,0.005679671909151418,False
30,PANW,0.559,False,38.5716667175293,38.54166793823242,-0.0007777413280209977,False
31,SEDG,0.5576,False,94.0,95.08999633789062,0.011595705722240668,False
32,GE,0.5479,False,53.633033752441406,54.02028274536133,0.0072203447358092365,False
33,LRCX,0.5375,False,27.217966079711914,27.204940795898438,-0.0004785546346603997,False
34,CRWD,0.5375,False,50.029998779296875,49.869998931884766,-0.0031980781794126445,False
35,VRT,0.5292,False,10.86223030090332,10.971647262573242,0.010073157964697321,False
36,NOW,0.5229,False,56.5620002746582,56.4640007019043,-0.001732604438987928,False
37,ANET,0.5201,False,12.695625305175781,12.712499618530273,0.0013291439333527055,False
38,NVDA,0.5097,False,5.77512788772583,5.849207878112793,0.01282741989911762,False
39,ADI,0.4986,False,106.0958251953125,106.07795715332031,-0.00016841418556567955,False
40,PLUG,0.4976,False,3.0799999237060547,3.1600000858306885,0.025974079255291826,False
41,TXN,0.4958,False,106.34828186035156,106.87312316894531,0.004935117892011842,False
42,GOOGL,0.4931,False,66.39674377441406,66.38087463378906,-0.00023900480238780997,False
43,MU,0.4924,False,51.8950309753418,52.45093536376953,0.010712092814664231,True
44,FTNT,0.4632,False,21.389999389648438,21.351999282836914,-0.001776536133512585,False
45,AMAT,0.4597,False,57.429542541503906,57.533226013183594,0.0018054030572289825,False
46,META,0.4562,False,202.63059997558594,203.46327209472656,0.004109310830846535,False
47,MELI,0.4271,False,583.8499755859375,571.9400024414062,-0.020399029960699533,False
48,COST,0.4167,False,269.0760192871094,267.9637145996094,-0.004133793455273094,False
49,PFE,0.4118,False,26.889413833618164,27.07600975036621,0.006939382089272472,False
50,INTU,0.4111,False,251.558837890625,250.68788146972656,-0.0034622374161114022,False
51,PYPL,0.3861,False,107.04295349121094,107.2412338256836,0.0018523436434227936,False
52,IBM,0.3743,False,96.81749725341797,97.71417236328125,0.009261498544175906,False
53,CDNS,0.3694,False,69.98999786376953,69.36000061035156,-0.009001246930228746,False
54,BA,0.3674,False,324.4695129394531,323.83331298828125,-0.0019607387621979333,False
55,NFLX,0.3667,False,32.33100128173828,32.356998443603516,0.0008040939294979843,False
56,CRM,0.3243,False,159.67750549316406,159.8740997314453,0.0012311955755701653,False
57,SNPS,0.3229,False,139.10000610351562,139.1999969482422,0.0007188414114960295,False
58,UBER,0.3139,False,29.739999771118164,29.739999771118164,0.0,False
59,TWLO,0.3132,False,97.79000091552734,98.27999877929688,0.005010715402209653,False
60,TTD,0.3083,False,25.27199935913086,25.97800064086914,0.027936107139983735,False
61,SAP,0.3035,False,118.92830657958984,119.46327209472656,0.004498218553029787,False
62,OKTA,0.3007,False,114.30000305175781,115.37000274658203,0.009361326913873258,False
63,AVGO,0.2569,False,26.910846710205078,27.130624771118164,0.00816689505461543,False
64,NET,0.2542,False,17.209999084472656,17.059999465942383,-0.008715841168498772,False
