date,book_ret,hedge_on,weight,hedge_instr_ret,sleeve_pnl,overlaid_ret
2016-06-20,-0.000174,False,0.0,-0.009081,0.0,-0.000174
2016-06-21,-0.006688,False,0.0,0.00564,0.0,-0.006688
2016-06-22,0.014723,False,0.0,-0.078514,0.0,0.014723
2016-06-23,-0.025823,False,0.0,0.171168,0.0,-0.025823
2016-06-24,-0.02281,False,0.0,0.114648,0.0,-0.02281
2016-06-27,0.02652,False,0.0,-0.081003,0.0,0.02652
2016-06-28,0.02207,False,0.0,-0.059924,0.0,0.02207
2016-06-29,0.017409,False,0.0,-0.053963,0.0,0.017409
2016-06-30,-0.01022,False,0.0,0.027808,0.0,-0.01022
2016-07-01,-0.004836,False,0.0,0.053764,0.0,-0.004836
2016-07-05,0.0042,False,0.0,-0.004608,0.0,0.0042
2016-07-06,0.004587,False,0.0,-0.035714,0.0,0.004587
2016-07-07,0.020761,False,0.0,-0.084705,0.0,0.020761
2016-07-08,0.006848,False,0.0,-0.032596,0.0,0.006848
2016-07-11,0.005584,False,0.0,-0.042215,0.0,0.005584
2016-07-12,-0.003108,False,0.0,-0.000809,0.0,-0.003108
2016-07-13,0.007361,False,0.0,-0.021853,0.0,0.007361
2016-07-14,-0.004274,False,0.0,0.000414,0.0,-0.004274
2016-07-15,0.010471,False,0.0,-0.045492,0.0,0.010471
2016-07-18,0.002747,False,0.0,0.010832,0.0,0.002747
2016-07-19,0.007243,False,0.0,-0.047149,0.0,0.007243
2016-07-20,-0.013595,False,0.0,0.022042,0.0,-0.013595
2016-07-21,0.019516,False,0.0,-0.017165,0.0,0.019516
2016-07-22,0.016192,False,0.0,-0.017913,0.0,0.016192
2016-07-25,0.010827,False,0.0,-0.113087,0.0,0.010827
2016-07-26,-0.000154,False,0.0,0.0,0.0,-0.000154
2016-07-27,0.005287,False,0.0,0.015938,0.0,0.005287
2016-07-28,-0.001381,False,0.0,0.01164,0.0,-0.001381
2016-07-29,7e-05,False,0.0,-0.003502,0.0,7e-05
2016-08-01,-0.017916,False,0.0,0.047189,0.0,-0.017916
2016-08-02,0.010238,False,0.0,-0.004315,0.0,0.010238
2016-08-03,0.008841,False,0.0,-0.027443,0.0,0.008841
2016-08-04,0.014095,False,0.0,-0.039604,0.0,0.014095
2016-08-05,0.000103,False,0.0,0.004639,0.0,0.000103
2016-08-08,0.002898,False,0.0,-0.025654,0.0,0.002898
2016-08-09,-0.009349,False,0.0,0.02159,0.0,-0.009349
2016-08-10,0.006442,False,0.0,-0.011856,0.0,0.006442
2016-08-11,0.005104,False,0.0,-0.014084,0.0,0.005104
2016-08-12,0.009783,False,0.0,-0.041799,0.0,0.009783
2016-08-15,-0.008482,False,0.0,0.020983,0.0,-0.008482
2016-08-16,-0.004428,False,0.0,-0.000541,0.0,-0.004428
2016-08-17,0.005511,False,0.0,-0.020563,0.0,0.005511
2016-08-18,0.017497,False,0.0,-0.026519,0.0,0.017497
2016-08-19,0.005194,False,0.0,-0.001703,0.0,0.005194
2016-08-22,-0.003227,False,0.0,-0.016487,0.0,-0.003227
2016-08-23,-0.017667,False,0.0,0.026012,0.0,-0.017667
2016-08-24,-0.000374,False,0.0,-0.010141,0.0,-0.000374
2016-08-25,0.010334,False,0.0,-0.015367,0.0,0.010334
2016-08-26,0.000639,False,0.0,-0.010983,0.0,0.000639
2016-08-29,0.000808,False,0.0,0.00526,0.0,0.000808
2016-08-30,-0.007981,False,0.0,0.002326,0.0,-0.007981
2016-08-31,0.006529,False,0.0,-0.024362,0.0,0.006529
2016-09-01,0.011222,False,0.0,0.00535,0.0,0.011222
2016-09-02,0.002785,False,0.0,0.006505,0.0,0.002785
2016-09-06,-0.014883,False,0.0,0.022914,0.0,-0.014883
2016-09-07,-0.00691,False,0.0,0.005169,0.0,-0.00691
2016-09-08,-0.032425,False,0.0,0.109714,0.0,-0.032425
2016-09-09,0.015256,False,0.0,-0.062307,0.0,0.015256
2016-09-12,-0.019985,False,0.0,0.029105,0.0,-0.019985
2016-09-13,0.006152,False,0.0,-0.029349,0.0,0.006152
2016-09-14,0.01515,False,0.0,-0.06762,0.0,0.01515
2016-09-15,0.001232,False,0.0,-0.001769,0.0,0.001232
2016-09-16,0.010437,False,0.0,-0.002953,0.0,0.010437
2016-09-19,-0.00385,False,0.0,0.012441,0.0,-0.00385
2016-09-20,0.021397,False,0.0,-0.04213,0.0,0.021397
2016-09-21,0.000809,False,0.0,-0.012217,0.0,0.000809
2016-09-22,-0.00694,False,0.0,0.034632,0.0,-0.00694
2016-09-23,-0.009819,False,0.0,0.028093,0.0,-0.009819
2016-09-26,0.020902,False,0.0,-0.052325,0.0,0.020902
2016-09-27,0.00213,False,0.0,-0.006135,0.0,0.00213
2016-09-28,0.00382,False,0.0,-0.038271,0.0,0.00382
2016-09-29,0.004003,False,0.0,-0.04493,0.0,0.004003
2016-09-30,-0.003722,False,0.0,0.018817,0.0,-0.003722
2016-10-03,-0.005342,False,0.0,0.008575,0.0,-0.005342
2016-10-04,0.002561,False,0.0,-0.023545,0.0,0.002561
2016-10-05,0.004892,False,0.0,-0.018084,0.0,0.004892
2016-10-06,-0.00343,False,0.0,0.005457,0.0,-0.00343
2016-10-07,-0.010257,False,0.0,0.014925,0.0,-0.010257
2016-10-10,-0.022068,False,0.0,0.062834,0.0,-0.022068
2016-10-11,0.004269,False,0.0,0.011321,0.0,0.004269
2016-10-12,-0.00947,False,0.0,0.036069,0.0,-0.00947
2016-10-13,0.008397,False,0.0,-0.02521,0.0,0.008397
2016-10-14,-0.005897,False,0.0,0.017242,0.0,-0.005897
2016-10-17,0.010229,False,0.0,-0.03753,0.0,0.010229
2016-10-18,-0.002015,False,0.0,0.015094,0.0,-0.002015
2016-10-19,0.005998,False,0.0,-0.021066,0.0,0.005998
2016-10-20,-0.000937,False,0.0,0.008228,0.0,-0.000937
2016-10-21,0.017897,False,0.0,-0.055869,0.0,0.017897
2016-10-24,0.004337,False,0.0,0.002659,0.0,0.004337
2016-10-25,-0.008686,False,0.0,0.004642,0.0,-0.008686
2016-10-26,-0.013638,False,0.0,0.012541,0.0,-0.013638
2016-10-27,-0.002292,False,0.0,0.018905,0.0,-0.002292
2016-10-28,0.00309,False,0.0,-0.016635,0.0,0.00309
2016-10-31,-0.01054,False,0.0,0.026675,0.0,-0.01054
2016-11-01,-0.011423,False,0.0,0.020279,0.0,-0.011423
2016-11-02,-0.007127,False,0.0,0.006211,0.0,-0.007127
2016-11-03,-0.00587,False,0.0,0.017284,0.0,-0.00587
2016-11-04,0.023702,False,0.0,-0.086165,0.0,0.023702
2016-11-07,-0.001663,True,0.18012500086300637,-0.005976,-0.0012565520060203326,-0.0029195520060203324
2016-11-08,-0.001736,False,0.0,0.014028,0.0,-0.001736
2016-11-09,-0.018555,False,0.0,0.064559,0.0,-0.018555
2016-11-10,0.048927,False,0.0,-0.110767,0.0,0.048927
2016-11-11,-0.005785,False,0.0,0.01183,0.0,-0.005785
2016-11-14,0.013105,False,0.0,-0.056396,0.0,0.013105
2016-11-15,0.011262,False,0.0,-0.035714,0.0,0.011262
2016-11-16,0.017743,False,0.0,-0.030234,0.0,0.017743
