parameter,value,total_return,excess_vs_spy,excess_vs_qqq,excess_vs_equal_weight,max_drawdown,total_trades,win_rate,profit_factor,avg_holding_period
max_total_exposure,50%,3.3289788000000002,-0.7098061999999996,-5.040784200000001,-27.552352199999998,-0.2563934591004213,594,0.47959183673469385,1.6286668216993527,65.60340136054423
max_total_exposure,70%,14.2214527,10.1826677,5.8516897,-16.6598783,-0.3299714638376828,791,0.5229591836734694,1.7585658546549603,68.18954081632654
max_total_exposure,90%,15.0298484,10.991063400000002,6.6600854,-15.851482599999999,-0.4705346633464944,1317,0.47706422018348627,1.6863255923007023,51.24571865443425
max_total_exposure,100%,27.201095099999996,23.162310099999996,18.831332099999997,-3.680235900000003,-0.44887627186886797,1383,0.5058309037900874,1.9318040983951854,49.95685131195334
max_position_pct,4.25%,15.4512266,11.412441600000001,7.081463599999999,-15.4301044,-0.41970341117742765,1921,0.5257623554153522,1.7417474870300511,69.34027339642482
max_position_pct,8.50%,15.0298484,10.991063400000002,6.6600854,-15.851482599999999,-0.4705346633464944,1317,0.47706422018348627,1.6863255923007023,51.24571865443425
max_position_pct,12.75%,35.6226148,31.5838298,27.252851800000002,4.7412838000000015,-0.4211584494604118,1160,0.49393414211438474,1.7210846983076935,38.175909878682845
max_position_pct,17.00%,11.3780118,7.3392268,3.0082487999999987,-19.5033192,-0.5220716495035015,1097,0.5146520146520146,1.6121690297584241,29.15787545787546
max_position_pct,25.50%,9.721033899999998,5.6822488999999985,1.3512708999999976,-21.1602971,-0.4707979316663667,1172,0.5256849315068494,1.4321474745345266,16.815924657534246
max_new_trades_per_day,1,23.576977799999998,19.538192799999997,15.207214799999997,-7.304353200000001,-0.37169434815447794,1195,0.5008431703204047,1.8502400526179916,55.85177065767286
max_new_trades_per_day,2,15.0298484,10.991063400000002,6.6600854,-15.851482599999999,-0.4705346633464944,1317,0.47706422018348627,1.6863255923007023,51.24571865443425
max_new_trades_per_day,3,25.1557484,21.1169634,16.7859854,-5.725582599999999,-0.3902742932414517,1247,0.49596122778675283,1.6677682362409851,53.57641357027464
max_new_trades_per_day,5,26.1744834,22.1356984,17.8047204,-4.7068476,-0.3942752709724883,1261,0.5136,1.9026441668402414,53.4384
min_composite_score,none,15.0298484,10.991063400000002,6.6600854,-15.851482599999999,-0.4705346633464944,1317,0.47706422018348627,1.6863255923007023,51.24571865443425
