,book_fwd_1d,book_fwd_5d,book_fwd_20d,psq_fwd_1d,psq_fwd_5d,soxs_fwd_1d,soxs_fwd_5d,smh_fwd_1d,smh_fwd_5d,top10_fwd_1d,top10_fwd_5d,top10_fwd_20d,bottom10_fwd_1d,bottom10_fwd_5d,bottom10_fwd_20d,universe_fwd_1d,universe_fwd_5d,universe_fwd_20d,spread_fwd_1d,spread_fwd_5d,spread_fwd_20d,psq_fwd_20d,soxs_fwd_20d,smh_fwd_20d
book_trl_1d,0.03725550254645186,0.1109258920317575,0.0564392185983374,0.09794243492622146,-0.014624635740716688,0.08761879324416062,-0.0004976479486097945,-0.1131913451190901,0.03171138802882339,-0.00827537539198215,0.1116982238597653,0.032003192623995196,-0.09966495483538794,0.031015538591875835,-0.1425703151597027,-0.07148791457481653,0.0629401228411369,-0.06730375635370063,0.18240341857915346,0.16906190158041245,0.21865126095168932,0.12482827427755375,0.1358949553936732,-0.08837543973661181
book_trl_5d,0.1878983164320914,0.03748275173501403,-0.12719033440690444,-0.25622557131906365,-0.017571099899265176,-0.25707701995656107,0.004921219100939528,0.22512968513402812,0.12813890204652242,0.2542334982162166,0.10501965609942021,-0.060230237452792136,0.19947191157039523,0.0440083177796121,-0.5096740247969885,0.2569566641276523,0.08139851854102133,-0.3298645738076632,0.031130856918765777,0.13167969733901363,0.5309926256256653,0.41704492275729904,0.37328722597476277,-0.26137189248493575
book_trl_20d,0.28232408344153115,0.348244220096969,0.20006386603036025,-0.30680158275155817,-0.35194373398468776,-0.3623233589068531,-0.3820141153373532,0.3154798499790616,0.47945744549559755,0.3101545041974007,0.38707490318027493,0.3353441043649463,0.2689038802490992,0.36440954338677595,-0.24174341983908013,0.30997770393428087,0.3890063673507828,-0.004251979750748957,-0.012331213388100665,0.11389144385630201,0.7741871247421342,0.1797621045976919,0.17790212711410805,0.09995538596782241
spy_trl_1d,-0.1074460214824324,0.10351745386032114,0.07791046050357565,0.3266269644840254,-0.012378373537861557,0.3383517804983798,-0.03419468475743799,-0.34102818188853307,0.03434383518512328,-0.24405395237841018,0.07578812049294119,0.020272680736325644,-0.30999126874373195,0.10761318740929693,0.03111449004915273,-0.29225468755541767,0.08440841237110308,0.018754552021137808,0.20340468609078954,-0.04431389347820314,-0.008595630363303295,0.024388309395913153,0.033672453576903655,-0.019023405558122423
spy_trl_5d,0.3063956884217241,0.22771728662812854,0.033395520564207026,-0.32047682885353845,-0.1647873427038258,-0.3289956898561495,-0.12330743494527556,0.3025046456441877,0.30414030595134667,0.33237988755064285,0.24419155077655424,0.0728967514029629,0.25255652346089263,0.26138723908609185,-0.3766802035231883,0.3342197686877691,0.26313628959618246,-0.18893253124605225,0.05689959518042708,0.01399591766367252,0.5609583550078899,0.3274972936210372,0.301397027650569,-0.11370557282856651
spy_trl_20d,0.4881425210816691,0.4539255078971715,0.31825141943157825,-0.48384838926104695,-0.4016338201778052,-0.5166592027550886,-0.3555556502614941,0.48654677073370695,0.5538343684583941,0.5058443882545735,0.4543721152968845,0.4027703961220157,0.47868793448579566,0.53133028339899,-0.10389534879626963,0.5166085033240441,0.5010375590162496,0.11375454663614584,-0.09909286650833107,-0.05655061168087857,0.7039702967223547,0.10876773877497722,0.2157803608116039,0.1646491739837635
qqq_trl_1d,-0.10756970218882321,0.08162073982738804,0.07055864639715907,0.3125904604765632,0.019944254765258507,0.3291249669118295,-0.015082778053177254,-0.3363123568492033,-0.0070263298240161864,-0.2153333977672484,0.052259706576568116,0.015890106084392265,-0.3096151357107207,0.039899504604949995,0.022704711417903856,-0.2798601565176622,0.03904802414981771,0.013009959165662534,0.2505414141573419,0.03246063753160744,-0.004698058281085322,0.023382026931975428,0.016882628687485822,-0.025490355483711733
qqq_trl_5d,0.2005026492858586,0.17659875982536852,-0.004512971793735696,-0.20739157768699593,-0.13701414296299452,-0.21279557993685022,-0.1259876005463317,0.17928705452244678,0.2494860888112224,0.25041979739423875,0.21491550232678286,0.05581337707268718,0.12911817021356609,0.18719355042753713,-0.3641299581357477,0.22016610088195318,0.2106801336048027,-0.2012668234868882,0.16327040961967898,0.09104286385190433,0.5212342034481721,0.32083523496147154,0.26308950810634824,-0.1144622206261717
qqq_trl_20d,0.3759235171097663,0.3931697573153606,0.26832661562564225,-0.3797450858373933,-0.3697542498310619,-0.4171595791770795,-0.36575671253955727,0.37737233757682453,0.5120740396468532,0.41111220176341357,0.40823443162246126,0.393040628061856,0.361210736315375,0.4559690188531479,-0.13080277263671367,0.40163912959636694,0.44167490136052145,0.08131864162232136,-0.025748154641330834,-0.011480640249663082,0.7226018058752329,0.12859784926356144,0.16184321470619517,0.16336649268749007
smh_trl_1d,-0.09410920304052635,0.05691967989720358,0.056425552143695684,0.26734535490242345,0.012608230408297571,0.2656786722369457,0.0016939728977419682,-0.28366522254609483,-0.01484191488625033,-0.20697245601967676,0.05683126975336036,0.0373626417835235,-0.2763240910561189,0.050632586910544716,0.00730692631413485,-0.2517091630720303,0.04015248113073648,0.011255068159398036,0.1989430107523935,0.021995548478350883,0.04477561013639377,0.017360621505399413,0.02552909961674775,-0.020539573259254276
