ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
AMAT,13.0,640.0,2026-06-23,631.0,631.0,631.0
AXON,18.0,463.971667,2026-06-24,467.0,467.0,467.0
DASH,47.0,177.56,2026-06-24,179.5583,179.5583,179.5583
HOOD,80.0,108.14075,2026-06-22,98.3718,98.3718,98.3718
LRCX,20.0,410.5,2026-06-23,380.15,380.15,380.15
MU,7.0,1181.74,2026-06-22,1135.99,1135.99,1135.99
