sources,setting,return,ret_std,vs_strict,maxDD,sharpe,trades,divergences,significant
none,discretionary,0.03271868242260734,0.0,0.027583865526489282,-0.029170207270054704,4.064687383521613,12,5,False
macro,discretionary,0.021621830479492177,0.0,0.01648701358337412,-0.022244309578486332,3.6047348215871424,12,4,False
