sources,setting,return,ret_std,vs_strict,maxDD,sharpe,trades,divergences,significant
none,balanced,0.6136163108297121,0.0,-0.08473849747607409,-0.14635916511919755,2.812691497882346,35,3,False
none,discretionary,0.1828299745534676,0.0,-0.5155248337523186,-0.08615692602022962,1.9654129368225945,160,49,False
macro,balanced,0.6900661075906982,0.0,-0.008288700715088027,-0.12426470319765148,3.021714608467546,40,4,False
macro,discretionary,0.27423886270800835,0.0,-0.4241159455977779,-0.10598001833495196,2.2006878943615313,100,40,False
news,balanced,0.6252828624819335,0.0,-0.07307194582385268,-0.12799138597791204,2.852180095518608,39,6,False
news,discretionary,0.18523254383935583,0.0,-0.5131222644664304,-0.051405517325597616,2.1969372911892386,141,50,False
macro+news,balanced,0.6939442143057863,0.0,-0.004410593999999879,-0.1410633974870943,2.9503344979250388,40,4,False
macro+news,discretionary,0.3696695378957515,0.0,-0.3286852704100347,-0.1285302908851642,2.35544079838326,134,48,False
