asof,rows,underlyings,with_data,expiries,errors,snapshot_ts,max_dte
2026-06-29,53058,85,85,377,0,2026-06-29T02:56:16,31
2026-06-30,60134,85,85,449,0,2026-06-30T15:15:05,31
